name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Cisco,Communications Infrastructure|Data Center Infrastructure|Hardware|Networking|Software,"2,500,000",ipo,USA,CA,SF Bay Area,San Jose,1,1984,01/01/87,01/01/87,,,1984
CVE Group,Electronics,"17,500,000",operating,USA,TX,Dallas,Allen,1,1984,13/08/15,13/08/15,,,1984
Document Security Systems,Security,"12,862,048",ipo,USA,NY,"Rochester, New York",Rochester,6,1984,29/05/09,04/10/12,,,1984
Entech Solar,Clean Technology,"7,950,000",operating,USA,TX,Dallas,Fort Worth,2,1984,03/08/10,12/10/10,,,1984
firstSTREET for Boomers & Beyond,E-Commerce,"4,200,000",operating,USA,VA,Richmond,Colonial Heights,1,1984,11/01/11,11/01/11,,,1984
HBCS,Biotechnology,"18,336,720",operating,USA,DE,"Wilmington, Delaware",New Castle,1,1984,14/10/09,14/10/09,,,1984
Landpoint,Consulting|Environmental Innovation|Geospatial|Project Management,"17,000,000",operating,USA,LA,Shreveport,Bossier City,1,1984,23/12/13,23/12/13,,,1984
"Lanyon Solutions, Inc",Business Intelligence|Event Management|Hospitality|Hotels|Meeting Software|Procurement|Software,"10,000,000",operating,USA,TX,Dallas,Dallas,1,1984,03/12/09,03/12/09,,,1984
Lenovo,Hardware,"350,000,000",ipo,USA,NC,Raleigh,Morrisville,2,1984,01/01/84,31/03/05,,,1984
LifeCare,Curated Web|Loyalty Programs|Productivity Software,"65,000,000",operating,USA,CT,Hartford,Shelton,1,1984,12/06/00,12/06/00,,,1984
Medical Depot,Health Care,"115,000,000",operating,USA,NY,Long Island,Port Washington,1,1984,08/10/13,08/10/13,,,1984
MEMC Electronic Materials,Semiconductors,"60,000,000",ipo,USA,MO,MO - Other,O Fallon,1,1984,04/12/09,04/12/09,,,1984
Morningstar,Investment Management|Software,"91,000,000",ipo,USA,IL,Chicago,Chicago,1,1984,09/07/99,09/07/99,,,1984
North Carolina Biotechnology Center,Biotechnology,"2,033,000",operating,USA,NC,Asheville,Alexander,2,1984,03/02/15,03/02/15,,,1984
NTN Buzztime,Mobile,"2,250,000",operating,USA,CA,San Diego,Carlsbad,1,1984,26/05/09,26/05/09,,,1984
